rank,title,total ratings,installs,average rating,growth (30 days),growth (60 days),price,category,5 star ratings,4 star ratings,3 star ratings,2 star ratings,1 star ratings,paid
8,Where's My Water? 2,2139930,100.0 M,4.21,0.4,1.0,0.0,GAME PUZZLE,1458332,222784,145097,73342,240373,False
49,Domino Gaple TopFun(Domino QiuQiu):Free dan online,227922,1.0 M,4.45,0.2,0.5,0.0,GAME BOARD,180762,12754,9755,4957,19691,False
66,Don't Forget the Lyrics,67291,5.0 M,4.07,1.6,3.9,0.0,GAME MUSIC,39263,11047,6480,3409,7089,False
68,Disney Heroes: Battle Mode,397040,10.0 M,4.22,0.8,2.0,0.0,GAME STRATEGY,270231,46898,22959,12249,44700,False
11,Cooking Fever,4509959,100.0 M,4.32,0.6,1.4,0.0,GAME ARCADE,3162077,535233,288165,140773,383708,False
91,Domino! The world's largest dominoes community,98898,5.0 M,4.28,0.3,0.6,0.0,GAME BOARD,63985,17116,6866,3283,7645,False
9,Monster Legends: Breed & Merge Heroes Battle Arena,3308917,50.0 M,4.49,0.6,1.5,0.0,GAME STRATEGY,2529765,354913,146180,61592,216464,False
36,4 Images 1 Mot,379834,10.0 M,4.34,0.7,1.6,0.0,GAME WORD,231152,90731,31042,9258,17648,False
82,Evil Apples: You Against Humanity!,148706,5.0 M,4.09,0.2,0.3,0.0,GAME WORD,88425,24636,12827,6638,16177,False
30,Candy Crush Friends Saga,1656109,50.0 M,4.57,0.8,2.1,0.0,GAME CASUAL,1248261,240440,82183,26117,59105,False
23,Angry Birds Transformers,1892426,50.0 M,4.56,0.2,0.5,0.0,GAME ARCADE,1507018,177392,71510,30681,105821,False
93,Adventure Time: Heroes of Ooo,183775,10.0 M,4.2,0.1,0.3,0.0,GAME ADVENTURE,126910,17057,11464,6311,22030,False
62,Solitaire Collection,148422,5.0 M,4.72,2.1,3.4,0.0,GAME CARD,123397,16423,3836,1405,3358,False
46,神來也麻將－麻將、麻雀,251504,5.0 M,4.34,0.6,2.1,0.0,GAME CASINO,185875,25178,9258,3404,27786,False
17,Banana Kong,4448938,100.0 M,4.57,0.5,1.2,0.0,GAME ACTION,3440564,524996,227009,72803,183564,False
19,Çanak Okey Plus,570035,10.0 M,4.3,0.4,0.8,0.0,GAME BOARD,442106,24944,15124,7901,79957,False
90,Tebak Gambar,451275,10.0 M,4.22,0.2,0.4,0.0,GAME PUZZLE,309566,44130,31546,17392,48638,False
68,Highway Rider Motorcycle Racer,430053,10.0 M,4.27,0.0,0.1,0.0,GAME RACING,308843,37724,23574,10133,49776,False
57,Would You Rather? The Game,94619,5.0 M,3.64,1.0,1.8,0.0,GAME TRIVIA,49277,10308,8559,4612,21860,False
17,Picture Quiz: Logos,301099,10.0 M,4.49,0.0,0.0,0.0,GAME TRIVIA,204945,62497,19810,4015,9830,False
86,Word Surf - Word Game,141843,5.0 M,4.7,5.6,12.7,0.0,GAME WORD,116684,16262,3688,1409,3798,False
14,RAID: Shadow Legends,1310535,10.0 M,4.26,2.8,5.5,0.0,GAME ROLE PLAYING,898437,173883,61375,37136,139701,False
52,sameQuizy,107262,1.0 M,4.31,0.1,0.4,0.0,GAME TRIVIA,69383,19517,7749,3171,7440,False
74,Derby Destruction Simulator,404875,10.0 M,4.52,0.2,0.5,0.0,GAME RACING,320084,34079,17379,7821,25509,False
47,Slots: Epic Jackpot Slots Games Free & Casino Game,252406,1.0 M,4.81,0.9,2.0,0.0,GAME BOARD,230419,9902,3954,1793,6335,False
71,Dig This!,515194,50.0 M,4.35,0.6,1.5,0.0,GAME PUZZLE,363484,69997,23906,14312,43493,False
50,Animal Crossing: Pocket Camp,716086,10.0 M,4.38,1.7,2.2,0.0,GAME SIMULATION,500573,102370,44792,18880,49469,False
34,Bubble Shooter,1404198,100.0 M,4.3,4.0,8.8,0.0,GAME CASUAL,979410,153452,101560,47772,122001,False
95,Hardest Girl to Get - Kode Keras Cowok dari Cewek,44971,1.0 M,4.19,0.5,1.6,0.0,GAME TRIVIA,30436,4432,3284,1956,4861,False
35,My Candy Love - Episode / Otome game,592516,10.0 M,4.1,0.2,0.5,0.0,GAME ROLE PLAYING,368968,82889,44593,22132,73931,False
4,Zombie Tsunami,5855907,100.0 M,4.36,0.4,0.9,0.0,GAME ARCADE,4238921,620119,344542,159661,492662,False
59,DINO HUNTER: DEADLY SHORES,1492125,50.0 M,4.43,0.1,0.3,0.0,GAME ACTION,1095921,179535,80175,29311,107180,False
50,Stickman Soccer 2014,708388,10.0 M,4.42,0.1,0.2,0.0,GAME SPORTS,527257,72076,42467,13397,53188,False
52,Let's Fish: Sport Fishing Games. Fishing Simulator,706898,10.0 M,4.51,0.2,0.4,0.0,GAME SIMULATION,493555,133161,49616,9475,21088,False
69,Drum kit (Drums) free,60776,10.0 M,4.07,0.1,0.2,0.0,GAME MUSIC,38339,6594,5467,2404,7971,False
34,Tap Tap Music-Pop Songs,138467,10.0 M,4.2,0.2,0.5,0.0,GAME MUSIC,96074,12564,7795,5416,16616,False
88,ZooCraft: Animal Family Simulator,420829,10.0 M,4.39,0.3,0.7,0.0,GAME SIMULATION,288173,68381,28995,11287,23990,False
30,The Sims™ FreePlay,1000601,10.0 M,4.12,0.2,0.5,0.0,GAME SIMULATION,653921,112635,65545,34291,134207,False
2,Toca Life World: Build stories & create your world,1320352,50.0 M,4.34,13.0,35.1,0.0,GAME EDUCATIONAL,939834,153976,73728,36267,116544,False
55,Rally Racer Dirt,575472,50.0 M,4.29,0.1,0.3,0.0,GAME RACING,393761,73593,39148,17327,51641,False
21,Word Search,512540,10.0 M,4.69,0.0,0.0,0.0,GAME WORD,423778,51882,16591,5124,15163,False
91,Smash Cops Heat,293433,10.0 M,4.45,0.0,0.1,0.0,GAME RACING,220616,31054,14868,6476,20417,False
57,Shipwrecked:Castaway Island,316364,10.0 M,4.63,0.0,0.0,0.0,GAME ADVENTURE,260935,25389,11899,4699,13439,False
40,Lotsa Slots - Free Vegas Casino Slot Machines,289540,10.0 M,4.58,4.2,10.1,0.0,GAME CASINO,224239,35562,14838,4456,10442,False
65,Hello Neighbor,272140,10.0 M,4.02,4.8,10.8,0.0,GAME ADVENTURE,179442,22213,13724,10519,46239,False
13,DoubleU Casino - Free Slots,656331,10.0 M,4.37,0.7,1.4,0.0,GAME CASINO,454055,93991,47200,19253,41830,False
31,Spades Plus - Card Game,303103,10.0 M,4.47,0.4,1.0,0.0,GAME CARD,237226,24629,11782,6338,23126,False
83,FaceDance Challenge!,47417,1.0 M,4.19,0.0,0.0,0.0,GAME MUSIC,31983,5204,3240,1166,5822,False
99,Sweet Baby Girl Summer Fun 2 - Sunny Makeover Game,48762,10.0 M,4.13,3.2,7.3,0.0,GAME EDUCATIONAL,33603,3485,2838,2051,6782,False
75,Golf King - World Tour,394620,5.0 M,4.53,4.5,10.7,0.0,GAME SPORTS,272814,84901,20630,5249,11024,False
6,Dr. Driving,6001808,100.0 M,4.22,0.5,0.9,0.0,GAME RACING,4237062,499717,342654,213450,708921,False
39,麻將 明星3缺1麻將–台灣16張麻將Mahjong 、SLOT、Poker,289796,5.0 M,4.27,0.5,1.3,0.0,GAME CASINO,206958,29858,13254,4898,34826,False
90,PUBG MOBILE VN – GRAFFITI PRANK,878929,10.0 M,4.16,1.2,2.4,0.0,GAME ACTION,618177,72167,36063,20444,132076,False
37,Tower of Saviors,937315,10.0 M,4.08,0.2,0.3,0.0,GAME PUZZLE,617587,100653,47816,20748,150509,False
76,Board Kings™️ - Online Multiplayer Board Game,566659,10.0 M,4.38,2.6,5.0,0.0,GAME CASUAL,421578,54023,26027,15201,49828,False
16,Fun Race 3D,2106646,100.0 M,4.16,3.1,6.1,0.0,GAME RACING,1395015,223376,162308,89372,236573,False
79,My Boy! Free - GBA Emulator,553085,10.0 M,4.4,0.4,0.7,0.0,GAME ARCADE,417161,51029,24360,9592,50939,False
33,Injustice: Gods Among Us,2535575,10.0 M,4.38,0.1,0.2,0.0,GAME ACTION,1880942,249023,114674,59777,231156,False
63,Rock vs Guitar Legends 2017 HD,71018,5.0 M,3.81,0.1,0.1,0.0,GAME MUSIC,37310,8913,10270,2974,11548,False
11,DEEMO,551373,5.0 M,4.65,0.1,0.3,0.0,GAME MUSIC,460854,43281,16062,7751,23423,False
16,Bingo Bash featuring MONOPOLY: Live Bingo Games,646251,10.0 M,4.5,0.6,1.3,0.0,GAME BOARD,491446,71693,33722,16666,32722,False
70,Trivia Challenge,65029,1.0 M,4.62,0.8,2.2,0.0,GAME TRIVIA,52376,6236,3068,969,2378,False
64,Wood Block Puzzle,563915,50.0 M,4.41,0.2,0.4,0.0,GAME PUZZLE,428758,45640,29153,15509,44852,False
64,Love Live! School idol festival - 音樂節奏遊戲,71013,1.0 M,4.36,0.0,0.0,0.0,GAME MUSIC,51360,7677,4178,1849,5947,False
92,Retro Bowl,287935,1.0 M,4.72,4.5,13.0,0.0,GAME SPORTS,227552,47538,8800,1499,2542,False
92,HonorBound RPG,311571,1.0 M,4.51,0.0,0.1,0.0,GAME ROLE PLAYING,232822,42504,15496,5361,15386,False
94,Tigerball,451660,10.0 M,4.29,0.2,0.3,0.0,GAME ARCADE,300896,68275,33278,12973,36235,False
62,Слова из Слова,214635,5.0 M,4.68,1.1,2.1,0.0,GAME WORD,176773,21239,8385,2498,5737,False
60,A Journey Towards Jesus,81867,1.0 M,4.74,0.3,0.7,0.0,GAME TRIVIA,69027,8329,2359,609,1539,False
65,Monster Super League,403927,5.0 M,4.38,0.5,0.9,0.0,GAME ROLE PLAYING,282799,60134,21684,9106,30202,False
51,Lep's World 3 🍀🍀🍀,978941,50.0 M,4.39,0.6,1.2,0.0,GAME ARCADE,737202,83699,47744,26834,83459,False
76,Word Crack Mix 2,159357,5.0 M,4.04,0.0,0.0,0.0,GAME WORD,81330,41797,14271,5020,16936,False
18,Legends of Runeterra,469282,10.0 M,4.6,3.0,5.0,0.0,GAME CARD,376619,50048,13116,6299,23197,False
30,Coloring & Learn,124307,50.0 M,4.14,6.3,13.3,0.0,GAME EDUCATIONAL,83409,12126,7707,5369,15693,False
25,Best Fiends - Free Puzzle Game,2069636,50.0 M,4.62,0.5,1.0,0.0,GAME CASUAL,1639502,251483,72474,30765,75410,False
14,CSR Racing,2489649,50.0 M,4.52,0.0,0.0,0.0,GAME RACING,1948969,240394,105409,35133,159742,False
74,Cow Evolution: Crazy Cow Making Idle Merge Games,568109,10.0 M,4.59,0.2,0.4,0.0,GAME CASUAL,445665,65483,25062,9553,22344,False
85,Jewels Legend - Match 3 Puzzle,493289,10.0 M,4.63,859.3,1.2,0.0,GAME ARCADE,397005,52853,19376,6405,17647,False
58,Tomb of the Mask,1495928,100.0 M,4.38,1164.8,4.6,0.0,GAME ACTION,1080306,180336,78629,40266,116388,False
33,Indy Cat for VK,999159,5.0 M,4.87,0.0,0.0,0.0,GAME PUZZLE,932203,35588,10645,5257,15464,False
10,Ice Age Adventures,1432424,50.0 M,4.21,0.1,0.2,0.0,GAME ADVENTURE,947480,176433,110609,52804,145096,False
84,Falcon Squad: Galaxy Attack - Free shooting games,494463,50.0 M,4.54,1.2,2.3,0.0,GAME ARCADE,394660,41775,18966,9143,29916,False
45,Durak,202266,5.0 M,4.35,0.1,0.2,0.0,GAME CARD,146008,24164,8008,4179,19905,False
100,Word Life - Connect crosswords puzzle,109809,5.0 M,4.38,6.9,14.2,0.0,GAME WORD,70647,22630,8794,2775,4961,False
69,Volleyball Champions 3D - Online Sports Game,445355,10.0 M,4.12,0.2,0.3,0.0,GAME SPORTS,272769,64465,43954,17390,46776,False
54,Jewels Star,780001,50.0 M,4.36,0.0,0.0,0.0,GAME CASUAL,509966,143137,66340,22393,38164,False
16,Red Ball 4,2292938,100.0 M,4.43,1334.9,2.9,0.0,GAME ARCADE,1761515,198335,91692,49180,192215,False
34,Kill Shot,965532,10.0 M,4.4,0.0,0.1,0.0,GAME SIMULATION,629367,196151,78744,17126,44141,False
92,PixWords™,440362,10.0 M,4.67,0.1,0.1,0.0,GAME PUZZLE,354726,53694,15750,4794,11396,False
8,Homescapes,9950630,100.0 M,4.35,1.7,3.9,0.0,GAME CASUAL,6974932,1342886,575548,244526,812736,False
41,Cover Fire: Offline Shooting Games,2020959,50.0 M,4.53,1.8,3.6,0.0,GAME ACTION,1576195,207109,84764,37650,115239,False
80,Deer Hunter 2018,1022335,50.0 M,4.01,0.0,0.1,0.0,GAME ACTION,639683,120437,62570,33042,166601,False
8,Lucky Day - Win Real Rewards,1002202,10.0 M,3.89,0.2,0.6,0.0,GAME CASINO,648706,60221,44110,37068,212095,False
98,Monster Truck Destruction™,283643,10.0 M,4.24,0.3,0.7,0.0,GAME RACING,198878,26753,17006,8827,32176,False
91,Moy 4 🐙 Virtual Pet Game,474984,10.0 M,4.42,0.2,0.3,0.0,GAME CASUAL,355913,44709,26473,11737,36151,False
59,Rally Fury - Extreme Racing,505858,50.0 M,4.39,6.0,11.8,0.0,GAME RACING,369494,56878,26564,12990,39930,False
24,DEER HUNTER CLASSIC,3986647,100.0 M,4.39,0.0,0.0,0.0,GAME ACTION,2777555,615632,242394,81060,270003,False
77,Superbuzzer Trivia Quiz Game,58346,1.0 M,3.84,0.0,0.0,0.0,GAME TRIVIA,34640,6231,3315,2067,12092,False
7,Grow Empire: Rome,3639955,10.0 M,4.56,0.6,1.7,0.0,GAME STRATEGY,2712852,541251,218675,53951,113222,False
10,Guess The Song - Music Quiz,408024,10.0 M,4.21,0.0,0.0,0.0,GAME TRIVIA,260763,62469,33027,13232,38530,False
16,Hero Wars – Hero Fantasy Multiplayer Battles,1184299,50.0 M,4.42,4.0,7.1,0.0,GAME ROLE PLAYING,917825,103602,25698,14734,122437,False
90,Charades!,128916,10.0 M,4.32,0.1,0.1,0.0,GAME WORD,87579,19526,7808,3011,10989,False
89,7 Little Words: A fun twist on crossword puzzles,129879,1.0 M,4.65,0.1,0.2,0.0,GAME WORD,107466,11411,3367,2697,4936,False
8,Summoners War,2290221,50.0 M,4.27,0.3,0.5,0.0,GAME ROLE PLAYING,1590927,277701,120680,60390,240521,False
35,House Designer : Fix & Flip,520995,50.0 M,4.12,3.2,8.4,0.0,GAME ADVENTURE,337935,61651,34116,20254,67036,False
39,Soccer Star 2021 Top Leagues: Play the SOCCER game,894469,10.0 M,4.19,1.0,1.8,0.0,GAME SPORTS,611806,90171,54192,30113,108185,False
84,Bubble Shooter,509978,100.0 M,4.32,0.4,0.9,0.0,GAME CASUAL,352612,64166,35874,15964,41359,False
18,Minecraft Trial,2059766,100.0 M,4.03,3.9,8.9,0.0,GAME ARCADE,1350585,180474,112837,75158,340709,False
38,Critical Ops: Online Multiplayer FPS Shooting Game,2251406,50.0 M,4.23,0.6,1.4,0.0,GAME ACTION,1549864,252098,129978,63699,255764,False
21,Okey,565637,10.0 M,4.55,0.2,0.5,0.0,GAME BOARD,460107,37172,21810,9842,36703,False
75,ZENONIA® 5,380879,10.0 M,4.32,0.0,0.1,0.0,GAME ROLE PLAYING,265737,49292,22536,8318,34994,False
64,Little Panda's Candy Shop,68341,10.0 M,4.34,0.8,1.6,0.0,GAME EDUCATIONAL,51490,4766,2881,2054,7149,False
81,Free Slots!,120559,5.0 M,4.79,1.1,2.4,0.0,GAME CASINO,109036,5206,2358,939,3017,False
66,Rummikub®,165123,5.0 M,4.62,2.8,7.9,0.0,GAME BOARD,137759,11970,4244,2489,8658,False
79,Slot Casino - Slot Machines,116320,10.0 M,4.19,0.0,0.0,0.0,GAME BOARD,74055,16364,10363,4762,10773,False
37,Crab War : Idle Swarm Evolution,491712,5.0 M,4.54,0.4,1.0,0.0,GAME ADVENTURE,364394,72835,28682,8182,17617,False
54,MotoGP Racing '20,609424,10.0 M,4.25,0.7,1.2,0.0,GAME RACING,393372,95095,51869,19200,49885,False
95,LINE PokoPoko - Play with POKOTA! Free puzzler!,409487,10.0 M,3.61,0.3,0.5,0.0,GAME PUZZLE,156215,90459,72831,26153,63826,False
9,The Tribez: Build a Village,2225296,10.0 M,4.4,0.2,0.3,0.0,GAME SIMULATION,1432062,447668,215802,52311,77452,False
62,96%: Family Quiz,77401,1.0 M,4.22,0.0,0.0,0.0,GAME TRIVIA,46640,15480,6702,2473,6104,False
23,Solitaire,352455,10.0 M,4.44,0.1,0.2,0.0,GAME CARD,241434,65691,20182,7769,17376,False
83,Farm Town: Happy farming Day & food farm game City,513638,10.0 M,4.31,0.6,1.1,0.0,GAME CASUAL,364260,52175,34067,17048,46086,False
38,General Knowledge Quiz,143164,5.0 M,4.34,0.0,0.1,0.0,GAME TRIVIA,91545,28322,11534,3887,7874,False
91,Crisis Action: 5th Anniversary,873891,10.0 M,3.93,0.1,0.1,0.0,GAME ACTION,551341,68587,58098,33898,161964,False
95,Venom Angry Crashy Rush Online,283770,10.0 M,4.21,0.4,1.0,0.0,GAME STRATEGY,198598,25283,15881,9610,34395,False
10,Ludo Club - Fun Dice Game,1208628,50.0 M,4.31,2.4,5.0,0.0,GAME BOARD,884572,108121,53324,27010,135599,False
68,Arcane Legends MMO-Action RPG,398383,10.0 M,4.23,0.0,0.0,0.0,GAME ROLE PLAYING,272948,44010,26048,11484,43890,False
96,Tile Connect - Free Tile Puzzle & Match Brain Game,94983,10.0 M,4.56,30.0,88.3,0.0,GAME BOARD,72273,13796,3129,1346,4437,False
79,Offroad Legends - Monster Truck Trials,349979,10.0 M,4.33,0.1,0.1,0.0,GAME RACING,244679,42177,25665,10302,27153,False
5,4 Fotos 1 Palabra,1215714,50.0 M,4.47,0.5,1.0,0.0,GAME WORD,865192,189818,79976,23692,57033,False
3,Cooking Mama: Let's cook!,749260,50.0 M,4.36,0.6,1.7,0.0,GAME EDUCATIONAL,555043,65904,40083,22812,65416,False
9,Masha and the Bear. Educational Games,201369,100.0 M,4.08,2.8,5.8,0.0,GAME EDUCATIONAL,135299,15707,11313,8966,30082,False
28,"Baby Games for 2,3,4 year old toddlers",132466,10.0 M,4.63,4.5,11.4,0.0,GAME EDUCATIONAL,101940,20340,5445,1284,3454,False
48,Dan the Man: Action Platformer,1038482,10.0 M,4.62,3.5,6.1,0.0,GAME ARCADE,852131,89639,32908,14214,49587,False
80,Daddy Long Legs,531922,10.0 M,4.28,0.0,0.1,0.0,GAME ARCADE,353551,83290,33656,15378,46044,False
16,Golf Clash,1975028,10.0 M,4.26,0.4,0.7,0.0,GAME SPORTS,1202833,428030,147116,53461,143586,False
31,Family Farm Seaside,1614657,50.0 M,4.33,0.3,0.6,0.0,GAME CASUAL,1195262,134471,76803,43785,164334,False
11,Extreme Car Driving Simulator,3479061,100.0 M,4.3,1.7,3.5,0.0,GAME RACING,2544408,283008,173931,106388,371323,False
27,Spider Solitaire,312718,10.0 M,4.69,0.1,0.3,0.0,GAME CARD,245984,49788,9036,2286,5621,False
32,Bike Racing 3D,1102775,100.0 M,4.13,0.3,0.6,0.0,GAME RACING,735070,104078,76513,44104,143009,False
65,Ludo Classic,174986,10.0 M,4.27,1.0,1.8,0.0,GAME BOARD,126431,14308,9286,5131,19828,False
3,Teen Patti Gold – Indian Family Card Game,1498979,50.0 M,4.47,0.8,1.5,0.0,GAME CASINO,1185864,112435,46330,23783,130564,False
63,Disney Magic Kingdoms: Build Your Own Magical Park,620223,50.0 M,3.95,547.4,0.9,0.0,GAME SIMULATION,377280,68412,41881,28491,104156,False
4,Boom Beach,6043927,50.0 M,4.44,0.1,0.2,0.0,GAME STRATEGY,4400891,800442,322207,120278,400106,False
20,Solitaire!,448786,10.0 M,4.54,0.1,0.3,0.0,GAME CARD,314368,91964,24250,5847,12355,False
19,My Talking Tom 2,3452778,100.0 M,4.3,2.2,5.2,0.0,GAME CASUAL,2533867,280936,162604,106373,368995,False
33,Callbreak Multiplayer,281205,50.0 M,4.04,0.8,1.8,0.0,GAME CARD,181358,27280,18064,11478,43023,False
1,Dream League Soccer,13374620,100.0 M,4.45,0.0,0.1,0.0,GAME SPORTS,10064893,1456557,649320,268502,935345,False
53,UTP - Ultimate Teen Patti (3 Patti),206831,10.0 M,4.2,0.3,0.5,0.0,GAME CASINO,146519,19097,7418,4029,29765,False
48,Green Farm 3,917760,10.0 M,4.05,0.4,0.8,0.0,GAME CASUAL,567205,114605,76366,38368,121214,False
19,"Cash, Inc. Money Clicker Game & Business Adventure",1222131,10.0 M,4.64,0.8,1.9,0.0,GAME SIMULATION,1020476,84508,44791,19334,53020,False
94,FarmVille 2: Tropic Escape,400719,10.0 M,4.27,0.2,0.4,0.0,GAME SIMULATION,266540,57248,28699,14529,33701,False
5,Live Hold’em Pro Poker - Free Casino Games,1120874,10.0 M,4.21,0.0,0.1,0.0,GAME CARD,703968,191418,84231,34897,106358,False
91,Era of Celestials,316501,10.0 M,4.19,0.1,0.3,0.0,GAME ROLE PLAYING,218341,30095,17165,10341,40556,False
80,Loco Parchís - Magic Ludo & Mega dice! USA Vip Bet,111317,1.0 M,4.04,0.5,0.5,0.0,GAME BOARD,69436,14523,6556,3528,17271,False
94,Beat the Boss 3,809795,10.0 M,4.51,0.0,0.0,0.0,GAME ACTION,626256,79461,43472,13250,47353,False
10,Pixel Art: Color by Number,2015215,100.0 M,4.49,1.5,2.9,0.0,GAME PUZZLE,1528095,228201,99425,42237,117255,False
13,Sudoku.com - Free Sudoku,1665667,50.0 M,4.59,1.2,2.7,0.0,GAME PUZZLE,1224129,303544,78602,16851,42538,False
14,Bus Simulator: Original,1485179,50.0 M,4.07,0.1,0.1,0.0,GAME SIMULATION,945229,165319,112969,56289,205369,False
91,90's Quiz Game,47900,500.0 k,4.74,0.0,0.0,0.0,GAME TRIVIA,40057,4653,2291,358,538,False
31,TTS Lontong,157035,5.0 M,4.29,0.0,0.2,0.0,GAME TRIVIA,107581,19575,11771,4736,13370,False
30,aa,904713,50.0 M,4.22,0.0,0.0,0.0,GAME STRATEGY,609628,105180,66828,23420,99654,False
74,Clash of Lords 2: Битва Легенд,384600,1.0 M,4.62,0.0,0.0,0.0,GAME STRATEGY,319266,29922,10217,4638,20554,False
46,Spades Royale - Best Online Spades Card Games App,201275,1.0 M,4.62,2.0,4.3,0.0,GAME CARD,167188,13872,6881,3545,9787,False
100,Epic Seven,296313,5.0 M,4.26,1.4,3.4,0.0,GAME ROLE PLAYING,201952,39325,15689,7752,31593,False
86,Guardian Tales,330007,1.0 M,4.67,4.8,11.4,0.0,GAME ROLE PLAYING,273260,31253,9983,4310,11199,False
33,King of Avalon: Dominion,877165,50.0 M,4.31,3.9,9.0,0.0,GAME STRATEGY,581205,145912,58794,19478,71773,False
75,Sea Battle 2,1098902,10.0 M,4.66,2.1,4.5,0.0,GAME ACTION,877180,141143,41513,11915,27149,False
83,FRONTLINE COMMANDO 2,997973,10.0 M,4.46,0.0,0.1,0.0,GAME ACTION,715952,147189,62085,19024,53721,False
24,1LINE – One Line with One Touch,472888,50.0 M,4.36,1.0,2.2,0.0,GAME BOARD,341542,50923,28129,13939,38352,False
60,What if..,685607,5.0 M,4.71,0.0,0.0,0.0,GAME CASUAL,553124,94327,21235,5076,11842,False
24,Word Streak-Words With Friends,469666,10.0 M,4.36,0.2,0.3,0.0,GAME WORD,290484,116481,28421,11901,22376,False
12,Vlogger Go Viral - Tuber Simulator Games,2102169,10.0 M,4.56,0.6,1.5,0.0,GAME STRATEGY,1658403,209043,87307,39632,107781,False
41,Piano Magic Tiles Hot song - Free Piano Game,117454,10.0 M,4.44,3.5,8.8,0.0,GAME MUSIC,89710,10233,5935,2948,8625,False
49,Beach Buggy Blitz,665358,50.0 M,4.29,0.1,0.3,0.0,GAME RACING,472497,66341,40741,16780,68997,False
45,Uphill Rush Water Park Racing,691090,100.0 M,4.17,0.5,1.4,0.0,GAME RACING,480292,55112,39190,26213,90280,False
71,Classic Words Solo,176040,10.0 M,4.46,0.7,1.5,0.0,GAME WORD,115491,40875,10740,2757,6174,False
43,Heroes of Order & Chaos,722062,10.0 M,3.53,0.0,0.1,0.0,GAME STRATEGY,352710,72575,81910,35542,179323,False
71,Domino QiuQiu KiuKiu Online(koin gratis),145823,1.0 M,4.64,1.2,2.9,0.0,GAME BOARD,125960,5830,3677,2013,8341,False
26,Geometry Dash Meltdown,1722543,50.0 M,4.46,0.3,0.7,0.0,GAME ARCADE,1299263,184269,91635,32702,114671,False
34,Wheel of Fortune: Free Play,386981,10.0 M,4.48,0.5,1.2,0.0,GAME WORD,293442,40576,20693,10146,22122,False
97,Redline Rush: Police Chase Racing,288296,10.0 M,4.41,0.0,0.1,0.0,GAME RACING,210515,32429,18238,8364,18748,False
27,Ice Age Village,1897418,50.0 M,4.48,0.0,0.1,0.0,GAME CASUAL,1399020,245726,111900,40021,100748,False
70,Deep Town: Mining Factory,392793,5.0 M,4.56,0.9,1.8,0.0,GAME STRATEGY,311297,37144,16792,9336,18222,False
60,The Seven Deadly Sins: Grand Cross,457866,10.0 M,4.25,3.5,12.7,0.0,GAME ROLE PLAYING,323588,46196,21070,10973,56037,False
73,Public Transport Simulator,485173,10.0 M,4.2,0.6,1.2,0.0,GAME SIMULATION,326657,55914,31333,17527,53739,False
5,모두의마블,1596758,10.0 M,3.16,0.0,0.0,0.0,GAME BOARD,666378,138474,141241,89312,561350,False
83,Симулятор жизни Ютубера,441554,1.0 M,4.69,0.3,0.9,0.0,GAME SIMULATION,357642,53019,17556,4551,8783,False
90,Moy 🐙 Virtual Pet Game,475062,10.0 M,4.26,0.1,0.2,0.0,GAME CASUAL,334739,45217,31281,13596,50226,False
84,ไพ่แคง-รวมดัมมี่dummy ป๊อกเด้ง เก้าเกไทย เกมไพ่ฟรี,116702,1.0 M,4.73,1.4,2.6,0.0,GAME CASINO,100686,7277,4447,1508,2780,False
88,Prize Claw,473037,50.0 M,4.04,0.1,0.1,0.0,GAME ARCADE,296581,49238,44288,17779,65148,False
55,2020: My Country,494533,5.0 M,4.43,0.2,0.5,0.0,GAME STRATEGY,335263,86692,43116,10059,19400,False
37,Gaple-Domino QiuQiu Poker Capsa Ceme Game Online,243349,5.0 M,4.6,7.1,23.0,0.0,GAME CARD,200960,15474,10562,4523,11827,False
96,Viet Piano Tiles New 2020,40385,1.0 M,4.49,0.9,3.0,0.0,GAME MUSIC,31138,4108,1699,719,2718,False
84,March of Empires: War of Lords,329526,10.0 M,3.86,0.4,0.8,0.0,GAME STRATEGY,187204,44822,23400,13778,60319,False
98,4 Fotos 1 Palavra,114852,5.0 M,4.52,0.3,0.6,0.0,GAME WORD,84688,16783,6619,1867,4892,False
17,Magic Rush: Heroes,1129245,10.0 M,4.35,0.1,0.1,0.0,GAME ROLE PLAYING,817920,126139,56307,24562,104314,False
18,Mahjong Titan,588940,10.0 M,4.59,0.4,1.1,0.0,GAME BOARD,411456,133606,32789,4314,6771,False
81,Burrito Bison: Launcha Libre,528633,10.0 M,4.69,1.1,2.4,0.0,GAME ARCADE,434295,55719,18969,6103,13545,False
96,Bingo™,99440,5.0 M,4.41,0.0,0.0,0.0,GAME CASINO,71902,12048,6509,2569,6409,False
41,Gacha Club,1079008,10.0 M,4.53,7.1,15.2,0.0,GAME CASUAL,841957,112388,42627,17815,64217,False
70,Rummy 45 - Remi Etalat,136246,1.0 M,4.71,1.2,3.2,0.0,GAME CARD,115261,11793,3907,1325,3957,False
75,ไฮโลพื้นบ้าน Hilo - รวมเกมดัมมี่ ไฮโล ไพ่สลาฟ ฯลฯ,135368,1.0 M,4.34,0.1,0.3,0.0,GAME CASINO,99806,11947,6958,2839,13816,False
57,School Driving 3D,566856,10.0 M,4.4,0.0,0.1,0.0,GAME RACING,414532,60843,36278,12362,42839,False
21,Dummy ดัมมี่ ไพ่แคง เกมไพ่ฟรี,466565,10.0 M,4.54,1.2,2.1,0.0,GAME CASINO,361433,47345,27520,8884,21381,False
